Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min
66,0.0,0.0,1317.0,66.0,8.0,1317.0,0.10000000000000002,5.603885805655182,5.603885805655182,0.0,,,,,,,,,,,,,,,,2.745860804255721,1.5961380430469942,5.438602971024974,0.5336516220340944,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0,0.0,1326.0,67.0,9.0,1326.0,0.10000000000000002,6.52449557863511,6.52449557863511,0.0,,,,,,,,,,,,,,,,3.21792036906378,1.8499250485569667,6.297861359009465,0.5114409112709568,,,,,,,,,,,,,,,,,,,,,,,,
68,0.0,0.0,1336.0,68.0,10.0,1336.0,0.10000000000000002,7.592123436038582,7.592123436038582,0.0,,,,,,,,,,,,,,,,3.7408039935384263,2.161397446574906,7.290952562307818,0.4738898147893308,,,,,,,,,,,,,,,,,,,,,,,,
69,0.0,0.0,1354.0,69.0,18.0,1354.0,0.10000000000000002,15.674755083444099,15.674755083444099,0.0,,,,,,,,,,,,,,,,7.477314801979067,4.119351857298014,14.473574160694811,0.7903432355346729,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0,0.0,1379.0,70.0,25.0,1379.0,0.10000000000000002,25.48641329308229,25.48641329308229,0.0,,,,,,,,,,,,,,,,12.531990732756102,6.8709307084331686,22.57920768676087,0.6637161967708545,,,,,,,,,,,,,,,,,,,,,,,,
71,0.0,0.0,1394.0,71.0,15.0,1394.0,0.10000000000000002,6.694833061392815,6.694833061392815,0.0,,,,,,,,,,,,,,,,2.1663973372739003,2.073538915028662,6.434215616971444,0.10191744595944667,,,,,,,,,,,,,,,,,,,,,,,,
72,0.0,0.0,1402.0,72.0,8.0,1402.0,0.10000000000000002,5.729260150241274,5.729260150241274,0.0,,,,,,,,,,,,,,,,2.7710100234772224,1.6599620183250094,5.563211462993026,0.5257902230446607,,,,,,,,,,,,,,,,,,,,,,,,
73,0.0,0.0,1416.0,73.0,14.0,1416.0,0.10000000000000002,13.924310812339186,13.924310812339186,0.0,,,,,,,,,,,,,,,,7.1881872336535455,3.7826641646274846,13.048449090533026,0.9357936997309994,,,,,,,,,,,,,,,,,,,,,,,,
74,0.0,0.0,1436.0,74.0,20.0,1436.0,0.10000000000000002,17.301530140643102,17.301530140643102,0.0,,,,,,,,,,,,,,,,7.933763434366777,4.686498968413319,15.873512579565398,0.5941554673863093,,,,,,,,,,,,,,,,,,,,,,,,
75,0.0,0.0,1446.0,75.0,10.0,1446.0,0.10000000000000002,6.548395375059641,6.548395375059641,0.0,,,,,,,,,,,,,,,,2.7139831901424123,2.0357685729260693,6.340401066712525,0.16041748969147016,,,,,,,,,,,,,,,,,,,,,,,,
