Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min
67,63.0,0.0,24.0,1.0,24.0,1815.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.00929006,0.0,0.00929006,0.00929006,1.3830713,5.1827179999999996e-05,1.3831505,1.3829421999999998,-0.008228224888443946,0.004364087920063847,-0.0009454414248466492,-0.01487153023481369,0.082781054,0.0004845589599999999,0.08446027,0.08215842,4.3374475e-05,0.0,4.3374475e-05,4.3374475e-05,-0.011486737,0.0,-0.011486737,-0.011486737
68,65.0,0.0,24.0,1.0,24.0,1839.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.00852046,0.0,0.00852046,0.00852046,1.382603,9.50323e-05,1.3827163,1.3823836,-0.0076249543577432645,0.004045349433345132,4.810839891433716e-05,-0.013631079345941544,0.07488079,0.00062442734,0.07662247,0.07365754,3.725239e-05,0.0,3.725239e-05,3.725239e-05,-0.010443154,0.0,-0.010443154,-0.010443154
69,66.0,0.0,5.0,1.0,5.0,1844.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.3822746000000001,4.0366525e-05,1.3823465,1.3822299,,,,,,,,,,,,,,,,
70,68.0,0.0,24.0,1.0,24.0,1868.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.005753465,0.0,0.005753465,0.005753465,1.3822883,7.047166e-05,1.3823838,1.3821347,-0.005517574772238731,0.0029807654271353234,0.00013542920351028442,-0.009600408375263214,0.059477728,0.0007629502,0.06106821,0.05827486,1.96643e-05,0.0,1.96643e-05,1.96643e-05,-0.007619479,0.0,-0.007619479,-0.007619479
71,70.0,0.0,24.0,1.0,24.0,1892.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0043797907,0.0,0.0043797907,0.0043797907,1.3822421999999999,5.5515582000000005e-05,1.3823379999999998,1.3821527,-0.004312321357429027,0.002109218868462059,-0.0007723718881607057,-0.00744859129190445,0.04726834,0.0008240144,0.048398795999999994,0.045483563,1.152246e-05,0.0,1.152246e-05,1.152246e-05,-0.005919359599999999,0.0,-0.005919359599999999,-0.005919359599999999
72,72.0,0.0,24.0,1.0,24.0,1916.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0032546432000000003,0.0,0.0032546432000000003,0.0032546432000000003,1.3821793,5.526765e-05,1.3822768,1.382023,-0.003286441788077355,0.001888405998314234,-0.00020723789930343628,-0.005917038768529892,0.036736927999999995,0.0007084305000000001,0.03799825,0.035487927,7.1833892e-06,0.0,7.1833892e-06,7.1833892e-06,-0.004524828,0.0,-0.004524828,-0.004524828
73,74.0,0.0,24.0,1.0,24.0,1940.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.002996985,0.0,0.002996985,0.002996985,1.3822241000000002,2.8481303e-05,1.3822815,1.3821673,-0.0026133595965802674,0.0013876347433448909,-0.00029462575912475586,-0.00512559711933136,0.026146874,0.0004989495,0.027580759,0.025310622999999997,4.377589e-06,0.0,4.377589e-06,4.377589e-06,-0.0035260334,0.0,-0.0035260334,-0.0035260334
74,76.0,0.0,40.0,1.0,40.0,1980.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,0.4168852,0.0,0.4168852,0.4168852,1.3820877,9.624514000000001e-05,1.3822937,1.3818796,0.4325502363964915,0.4773713351940634,1.0008891820907593,-0.00011033564805984497,0.01760913,0.00088845287,0.01921315,0.015990373000000002,0.20749153,0.0,0.20749153,0.20749153,0.6036895,0.0,0.6036895,0.6036895
75,78.0,0.0,24.0,1.0,24.0,2004.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0027088036,0.0,0.0027088036,0.0027088036,1.3819095,4.7815174e-05,1.3819995,1.3817918,-0.002947811596095562,0.001346924038518668,-0.0005827043205499648,-0.005543405190110207,0.02508789,0.00052802893,0.026668975,0.024302864,5.2518985e-06,0.0,5.2518985e-06,5.2518985e-06,-0.0040843515000000006,0.0,-0.0040843515000000006,-0.0040843515000000006
76,80.0,0.0,24.0,1.0,24.0,2028.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0030756437,0.0,0.0030756437,0.0030756437,1.382102,4.502531e-05,1.3821683,1.3819805,-0.003241921029984951,0.0016460846955912395,-0.00037845969200134283,-0.006088372319936752,0.028450409,0.0006704809,0.03013146,0.027517478999999997,6.609823200000001e-06,0.0,6.609823200000001e-06,6.609823200000001e-06,-0.004546758,0.0,-0.004546758,-0.004546758
