Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
57,1440.0,0.0,14022.0,57.0,50.0,2850.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.70784163,0.39850888,-0.15071458,-1.4815607,,,,,0.013707152026747074,0.8370426975925558,1.6409586994157928,-1.432337582474792
58,1480.0,0.0,14268.0,58.0,50.0,2900.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2254953,0.03305099,-2.160102,-2.3088424,,,,,-0.2757734378829225,0.7349966227722513,1.179067873081431,-1.4301928495386762
59,1520.0,0.0,14514.0,59.0,50.0,2950.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.625879,0.12703513,-1.3964875,-1.8966624,,,,,-0.016055297168950357,0.7574066158055432,1.3780487650322228,-1.4446393671908773
60,1560.0,0.0,14760.0,60.0,50.0,3000.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8125186,0.26148632,-1.9427994,-3.0855912999999995,,,,,0.5866255516228062,0.6429663652721529,1.6102285400431031,-1.339575257666099
61,1600.0,0.0,15006.0,61.0,50.0,3050.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3778949000000003,0.12269698,-2.0949543,-2.582192,,,,,-0.2983124131246155,0.8117339949587317,1.4650833701662742,-1.4001502673363824
62,1640.0,0.0,15252.0,62.0,50.0,3100.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9246526999999998,0.22166970000000003,-1.629804,-2.3400679,,,,,0.023267179067563943,0.8242012986431698,1.4072669005631666,-1.4290240879624103
63,1680.0,0.0,15498.0,63.0,50.0,3150.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1005133,0.05581179,-1.0090681000000001,-1.2913576,,,,,0.38708132308871396,0.6112692861789656,1.5019505807089404,-1.1291811534989495
64,1720.0,0.0,15744.0,64.0,50.0,3200.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7372527,0.50254893,-2.224364,-4.1089597,,,,,-0.5386114412393812,0.6856163039191912,1.3840677228595573,-1.4878649054376292
65,1760.0,0.0,15990.0,65.0,50.0,3250.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44943320000000003,0.12588142,-0.18943691,-0.6058775,,,,,0.2610410988128002,0.8108263914150424,1.4367657586692713,-1.4549956358951526
66,1800.0,0.0,16236.0,66.0,50.0,3300.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9364830000000002,0.11262418,-1.7692693,-2.1609827999999998,,,,,0.006778235609871768,0.7491662730989871,1.4197496527888105,-1.3352868002453735
67,1840.0,0.0,16482.0,67.0,50.0,3350.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3749443000000001,0.32924566,-1.0613506000000001,-1.9931729,,,,,-0.16255697219049378,0.7609616144408035,1.283837952846872,-1.5003897122572196
68,1880.0,0.0,16728.0,68.0,50.0,3400.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6807756,0.051952362,-2.5637708,-2.746378,,,,,0.5087035009468893,0.6536226579409306,1.4450647015885665,-1.4680872109611465
69,1920.0,0.0,16974.0,69.0,50.0,3450.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.964162,0.20525181,-1.5283898999999999,-2.1946072999999995,,,,,-0.1842285249560312,0.8336528100252862,1.4655713363705043,-1.3965235642365534
70,1960.0,0.0,17220.0,70.0,50.0,3500.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9010221999999999,0.23892573,-1.6515872,-2.585541,,,,,-0.4807979413370445,0.7103896114546249,1.1969149402246186,-1.4034559769984063
71,2000.0,0.0,17466.0,71.0,50.0,3550.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7313718,0.27999409999999997,-1.3405614,-2.2841207999999997,,,,,0.21034933372019984,0.8510487726834879,1.3737059403773917,-1.6120096897674407
72,2040.0,0.0,17712.0,72.0,50.0,3600.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7205505000000003,0.13725172,-2.5462599,-3.0063925,,,,,0.2739059555078387,0.7536687862522023,1.4429531858860387,-1.3420880015785193
73,2080.0,0.0,17958.0,73.0,50.0,3650.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3674426,0.09728077,-3.2732415,-3.6456112999999997,,,,,-0.3543825207519473,0.7170171366465863,1.1274625363413708,-1.5088593335279223
74,2120.0,0.0,18204.0,74.0,50.0,3700.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4865901000000001,0.2500631,-1.0712678,-1.9009004,,,,,0.31145464316431626,0.7799197969347277,1.455261865487077,-1.3463735456440913
75,2160.0,0.0,18450.0,75.0,50.0,3750.0,0.1,-50.0,-50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4173334,0.07337376,-1.2718675,-1.5832715,,,,,0.19012859226705253,0.7976800341424596,1.4385122345376309,-1.4377212587612993
76,2200.0,0.0,18696.0,76.0,50.0,3800.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8371202000000002,0.26847792,-1.5797471,-2.4213188,,,,,0.350906047953917,0.873848515247611,1.3936589453765458,-1.322788803615944
77,2240.0,0.0,18942.0,77.0,50.0,3850.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.735418,0.10068395,-2.5927787,-2.945773,,,,,-0.41515301318513104,0.7049003700784012,1.4338445369816888,-1.4077773226900596
78,2280.0,0.0,19188.0,78.0,50.0,3900.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5546317,0.21695954,-0.17885058,-0.9201853000000001,,,,,-0.32007060879732663,0.8448928579113902,1.353307753915339,-1.4494403592041702
79,2320.0,0.0,19434.0,79.0,50.0,3950.0,0.1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14709921,0.13921742,-0.023953345,-0.5407897,,,,,-0.014769551140748302,0.7787187996297174,1.3218870738761437,-1.4582294864115697
80,2360.0,0.0,19680.0,80.0,50.0,4000.0,0.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1023666,0.04695243,-0.027832968,-0.20938143,,,,,0.06608323907064825,0.8860916699505063,1.5120961475676309,-1.4138220257875758
81,2400.0,0.0,19926.0,81.0,50.0,4050.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1014357000000006,0.20277213,-1.6412936000000002,-2.3556743,,,,,-0.03797935139369777,0.7462496985679319,1.3328335264201845,-1.4144462370541617
82,2440.0,0.0,20172.0,82.0,50.0,4100.0,0.1,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0106189,0.13590429999999998,-0.6872054,-1.3695973,,,,,-0.21914019452889388,0.809759532250892,1.3152777893070762,-1.4194264280294104
83,2480.0,0.0,20418.0,83.0,50.0,4150.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3111099999999998,0.3365883,-1.9075852999999998,-2.9735315,,,,,-0.4530567286828054,0.5782678053759127,1.022169542183727,-1.3848625461049413
84,2520.0,0.0,20664.0,84.0,50.0,4200.0,0.1,-50.0,-50.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0684311,0.13012081,-2.7071897999999996,-3.2334107999999997,,,,,0.15070278734554665,0.8337925996016946,1.406189822130373,-1.494632426377883
