Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Returns Mean/Mean,Returns Mean/Stdev,Returns Mean/Max,Returns Mean/Min,Returns Variance/Mean,Returns Variance/Stdev,Returns Variance/Max,Returns Variance/Min
82,33.0,0.0,23.0,1.0,23.0,1801.0,0.0,0.11500000000000005,23.0,0.0,,,,,,,,,,,,,,,,0.055822045233084684,0.02959841778336178,0.10319285817817224,0.005,0.6892144,0.0068840426,0.69314635,0.668913,,,,,,,,
83,34.0,0.0,15.0,1.0,15.0,1816.0,0.0,0.075,15.0,0.0,,,,,,,,,,,,,,,,0.03819257031625213,0.02004889587224851,0.06997082267935574,0.005,0.6925299,0.0004271682,0.6931269,0.6916640000000001,,,,,,,,
84,35.0,0.0,11.0,1.0,11.0,1827.0,0.0,0.054999999999999986,11.0,0.0,,,,,,,,,,,,,,,,0.029022144164224006,0.014966996075313928,0.052330872870641774,0.005,0.6870944,0.007366281999999999,0.69311243,0.66921806,,,,,,,,
85,36.0,0.0,9.0,1.0,9.0,1836.0,0.0,0.045,9.0,0.0,,,,,,,,,,,,,,,,0.024344861160024947,0.0123422783916159,0.04324137625817955,0.005,0.67999387,0.013121596000000001,0.69311583,0.65435815,,,,,,,,
86,37.0,0.0,19.0,1.0,19.0,1855.0,0.0,0.095,19.0,0.0,,,,,,,,,,,,,,,,0.04712351999271282,0.024922228920121338,0.08691568808220664,0.005,0.6926,0.0007803974000000001,0.6931437,0.68999004,,,,,,,,
87,38.0,0.0,12.0,1.0,12.0,1867.0,0.0,0.05999999999999999,12.0,0.0,,,,,,,,,,,,,,,,0.03133759582903328,0.016257855673222694,0.056807564141935364,0.005,0.6914354,0.0015750146,0.69313014,0.6888701,,,,,,,,
88,39.0,0.0,9.0,1.0,9.0,1876.0,0.0,0.045,9.0,0.0,,,,,,,,,,,,,,,,0.024344861160024947,0.0123422783916159,0.04324137625817955,0.005,0.6856359999999999,0.00783888,0.693136,0.6700603,,,,,,,,
89,40.0,0.0,31.0,1.0,31.0,1907.0,0.0,0.15500000000000005,31.0,0.0,,,,,,,,,,,,,,,,0.07254892896428006,0.03839361485936839,0.13384831517280116,0.005,0.6927419,0.000846848,0.6931468000000001,0.688959,,,,,,,,
90,41.0,0.0,17.0,1.0,17.0,1924.0,0.0,0.085,17.0,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,0.692267,0.0008990838499999999,0.69313264,0.6902218000000001,,,,,,,,
91,42.0,0.0,14.0,1.0,14.0,1938.0,0.0,0.06999999999999999,14.0,0.0,,,,,,,,,,,,,,,,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,0.69241536,0.0009169781,0.69313675,0.69046223,,,,,,,,
92,43.0,0.0,16.0,1.0,16.0,1954.0,0.0,0.08,16.0,0.0,,,,,,,,,,,,,,,,0.04044747932477151,0.02128626449475752,0.07427111445256218,0.005,0.69232243,0.0006577375,0.69313204,0.6908591,,,,,,,,
93,44.0,0.0,25.0,1.0,25.0,1979.0,0.0,0.12500000000000006,25.0,0.0,,,,,,,,,,,,,,,,0.060086291610310615,0.031865394096605694,0.1110893203004266,0.005,0.69256014,0.0006409965599999999,0.69314235,0.69047606,,,,,,,,
94,45.0,0.0,11.0,1.0,11.0,1990.0,0.0,0.054999999999999986,11.0,0.0,,,,,,,,,,,,,,,,0.029022144164224006,0.014966996075313928,0.052330872870641774,0.005,0.6910835999999999,0.0017202741,0.6931366999999999,0.68749315,,,,,,,,
95,46.0,0.0,17.0,1.0,17.0,2007.0,0.0,0.085,17.0,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,0.69281584,0.00039845772000000006,0.6931461999999999,0.6918095999999999,,,,,,,,
96,47.0,0.0,10.0,1.0,10.0,2017.0,0.0,0.05,10.0,0.0,,,,,,,,,,,,,,,,0.02669127129358223,0.013661969731348278,0.04780896249559776,0.005,0.6928259,0.00038860284,0.69314516,0.6918375,,,,,,,,
97,48.0,0.0,20.0,1.0,20.0,2037.0,0.0,0.10000000000000002,20.0,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,0.6928692,0.00036768068,0.6931468000000001,0.69189525,,,,,,,,
98,49.0,0.0,57.0,1.0,57.0,2094.0,0.0,0.2850000000000001,57.0,0.0,,,,,,,,,,,,,,,,0.12128608644549467,0.0624489738253126,0.21804740477380607,0.005,0.6923637,0.0012183931,0.6931467,0.6872821,,,,,,,,
99,50.0,0.0,17.0,1.0,17.0,2111.0,0.0,0.085,17.0,0.0,,,,,,,,,,,,,,,,0.042687533676728284,0.02251082658499651,0.07852840330803658,0.005,0.6915975000000001,0.0015603894,0.69309,0.6876787,,,,,,,,
100,51.0,0.0,36.0,1.0,36.0,2147.0,0.0,0.18000000000000008,36.0,0.0,,,,,,,,,,,,,,,,0.08256817481816388,0.04353468290208385,0.1517933909752131,0.005,0.6923033000000001,0.0015983154,0.69314647,0.6871908,,,,,,,,
101,52.0,0.0,19.0,1.0,19.0,2166.0,0.0,0.095,19.0,0.0,,,,,,,,,,,,,,,,0.04712351999271282,0.024922228920121338,0.08691568808220664,0.005,0.6919783,0.0012120807000000002,0.6931345,0.68933725,,,,,,,,
102,53.0,0.0,22.0,1.0,22.0,2188.0,0.0,0.11000000000000004,22.0,0.0,,,,,,,,,,,,,,,,0.05366882646285343,0.02844734535364565,0.09918470523047698,0.005,0.69184595,0.0014160367,0.6931439,0.6880601,,,,,,,,
103,54.0,0.0,18.0,1.0,18.0,2206.0,0.0,0.09000000000000001,18.0,0.0,,,,,,,,,,,,,,,,0.04491284398774094,0.023722760004486008,0.0827431192749562,0.005,0.6930384,7.192649000000001e-05,0.69313955,0.6928618000000001,,,,,,,,
104,55.0,0.0,34.0,1.0,34.0,2240.0,0.0,0.17000000000000007,34.0,0.0,,,,,,,,,,,,,,,,0.07859955146995502,0.041509921651436785,0.1447233863638538,0.005,0.69255817,0.0008751748,0.6931466,0.68919885,,,,,,,,
105,56.0,0.0,14.0,1.0,14.0,2254.0,0.0,0.06999999999999999,14.0,0.0,,,,,,,,,,,,,,,,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,0.6909069999999999,0.0016647107999999999,0.6930549,0.68704796,,,,,,,,
106,57.0,0.0,20.0,1.0,20.0,2274.0,0.0,0.10000000000000002,20.0,0.0,,,,,,,,,,,,,,,,0.049319670553146414,0.02610938697149644,0.09104653120138456,0.005,0.692836,0.00014877808,0.6931468000000001,0.6926558,,,,,,,,
107,58.0,0.0,14.0,1.0,14.0,2288.0,0.0,0.06999999999999999,14.0,0.0,,,,,,,,,,,,,,,,0.035922695147459015,0.01879852463102244,0.06562709361551085,0.005,0.69093364,0.0024426824,0.6931467,0.68471944,,,,,,,,
