Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,Q Values/Mean,Q Values/Stdev,Q Values/Max,Q Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min
73,291.0,0.0,119.0,1.0,119.0,2443.0,0.486132999999994,2.0,2.0,0.0,,,,,,,,,,,,,,,,0.7623109840390719,0.5295673465368707,1.617290140942288,0.0,,,,,,,,,0.10076303,0.028938584,0.13487701,0.029613886000000002,0.051913343,0.17522246,0.79278684,0.000747996
74,296.0,0.0,24.0,1.0,24.0,2467.0,0.4858977999999939,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.11908581,0.0146564245,0.13520586,0.089423634,0.0010217602,0.00023595625,0.0013741221,0.00070921995
75,307.0,0.0,52.0,1.0,52.0,2519.0,0.4853881999999937,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.5148012122030814,0.42792094166684,1.0,0.0,,,,,,,,,0.10466295,0.010565911,0.12585841,0.085654035,0.019559957,0.057352275,0.1916154,7.361755e-05
76,309.0,0.0,11.0,1.0,11.0,2530.0,0.4852803999999936,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.095396675,0.009557432,0.11032182,0.079859056,0.00022823249,0.0,0.00022823249,0.00022823249
77,314.0,0.0,24.0,1.0,24.0,2554.0,0.4850451999999935,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.09109826,0.007900203,0.104641624,0.07280832,0.00014604515,4.8166094e-05,0.00022485944,0.000100097655
78,319.0,0.0,24.0,1.0,24.0,2578.0,0.4848099999999934,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.080115646,0.0064848936,0.091938406,0.06938102,4.3358392000000006e-05,2.2668305999999997e-05,8.00327e-05,1.8076702e-05
79,324.0,0.0,24.0,1.0,24.0,2602.0,0.4845747999999933,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.07481518,0.0058185384,0.08368031,0.06538295,0.00022529487999999997,7.9950776e-05,0.00034965284,0.00012643238000000002
80,329.0,0.0,24.0,1.0,24.0,2626.0,0.4843395999999932,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0702974,0.0044233357,0.07848369,0.06338396,0.00029625767000000005,0.000118694385,0.00046313994000000004,0.00017485113999999997
81,334.0,0.0,24.0,1.0,24.0,2650.0,0.4841043999999931,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.06724702,0.0033021122,0.072442085,0.06187697,0.00039602947,0.00011203105,0.0005888925,0.00031922123
82,339.0,0.0,24.0,1.0,24.0,2674.0,0.483869199999993,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.06799324,0.0046170772999999995,0.07436144,0.060274432999999995,0.00022093557,0.00012505583000000002,0.00043319892999999995,0.0001254866
